ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
1,人工知能とは,人工知能（AI）の研究分野を提唱するきっかけとなった1956年の会議は何か。,ダートマス会議,ヤルタ会談,ソルベイ会議,バンドン会議,ダートマス会議は1956年にジョン・マッカーシーらが主催し、『Artificial Intelligence』という用語が初めて提唱された、AI研究の出発点となる歴史的会議である。
2,人工知能とは,『機械が考えることができるか』という問いを立てチューリングテストを提案した人物は誰か。,アラン・チューリング,ジョン・フォン・ノイマン,マービン・ミンスキー,クロード・シャノン,チューリングは1950年の論文で「機械は思考できるか」という問題提起を行い、人間と区別できない対話が可能かを評価するチューリングテストを提案した。
3,人工知能とは,ジョン・マッカーシーが提唱したAIの定義として最も適切なものはどれか。,知的な機械、特に知的なコンピュータプログラムを作る科学と技術,人間の脳の構造や働きを計算機上で完全に再現する科学と技術,人間と同等の身体能力を持つロボットを開発する科学と技術,人間が行う知的作業をすべて自動化するための科学と技術,マッカーシーはAIを「知的な機械を作る科学と技術」と定義し、人間の知能そのものの再現ではなく知的振る舞いの実現を目的とする学問とした。
4,人工知能とは,記号を用いて知識を表現し推論を行うアプローチを何というか。,記号主義AI,コネクショニズム,強化学習,進化計算,記号主義AIはルールや論理式などの記号を用いて知識を表現し、推論によって問題を解決するアプローチである。
5,人工知能とは,ニューラルネットワークを基盤とするアプローチとして適切なものはどれか。,コネクショニズム,記号主義,エキスパートシステム,プロダクションシステム,コネクショニズムは脳の神経回路を模したニューラルネットワークに基づくアプローチであり、重みの学習により知識を獲得する。
6,人工知能とは,人間が持つ知識をルールとして記述し推論するシステムを何というか。,エキスパートシステム,GAN,Transformer,サポートベクターマシン,エキスパートシステムは専門家の知識をif-thenルールとして表現し、推論エンジンによって判断を行うシステムである。
7,人工知能とは,AIの定義に関する議論で『弱いAI』の説明として適切なものはどれか。,特定の課題を実行するAI,人間と同等の汎用知能を持つAI,自我を持つAI,意識を持つAI,弱いAIは特定タスクに特化したAIを指し、知能そのものを持つわけではなく限定的な問題解決能力を持つ。
8,人工知能とは,人間と同等以上の知能を持ち幅広い課題をこなせると想定されるAIを何というか。,汎用人工知能（AGI）,エキスパートシステム,機械学習,ルールベースAI,AGIは特定タスクに限定されず、人間のように多様な知的作業をこなすことを目指す人工知能の概念である。
9,人工知能とは,人間の知的活動を計算機上で再現することを目的とする学問分野はどれか。,人工知能,データベース,コンピュータグラフィックス,ネットワーク工学,人工知能は人間の知的活動（推論・学習・認識など）をコンピュータで実現することを目的とする学問分野である。
10,人工知能とは,記号接地問題（Symbol Grounding Problem）が指摘する課題として適切なものはどれか。,記号が現実世界の意味とどのように結びつくかという問題,膨大な知識の中から現在の問題に関係する情報だけを選択する問題,形式的に記述された知識から常識的な推論を行うことが困難である問題,未知の状況に対して既存の知識を適切に一般化することが困難である問題,記号接地問題は、シンボル（記号）が単なる形式的操作ではなく、どのように現実世界の意味と結びつくのかという認知的課題を指す。
11,人工知能をめぐる動向,第1次AIブーム（1950年代後半～1960年代）の主な特徴はどれか。,探索と推論への期待の高まり,ディープラーニングの実用化,ビッグデータの活用,生成AIの普及,第1次AIブームでは探索アルゴリズムや論理推論によって知的行動を実現できるという期待が中心であり、現在のようなデータ駆動型AIとは異なる。
12,人工知能をめぐる動向,第2次AIブームで注目された技術はどれか。,エキスパートシステム,Transformer,GAN,深層強化学習,第2次AIブームでは人間の知識をルールとして明示的に記述し推論するエキスパートシステムが中心であり、専門家の知識をシステム化するアプローチが主流であった。
13,人工知能をめぐる動向,第3次AIブームを牽引した要因として最も適切なものはどれか。,ビッグデータ・計算資源の向上・ディープラーニング,エキスパートシステムの高度化,推論エンジンの高速化,記号処理の普及,第3次AIブームは大量データの利用、GPUによる計算能力の向上、そして深層学習アルゴリズムの進化という3要素が相互に作用して発展した。
14,人工知能をめぐる動向,2012年ILSVRCで高性能を示しディープラーニングを加速させたモデルはどれか。,AlexNet,LeNet,VGG16,ResNet,AlexNetはGPUを用いた大規模CNNとして2012年コンペで圧倒的性能を示し、ディープラーニングブームの契機となった。
15,人工知能をめぐる動向,AlphaGoが2016年に対戦し勝利した囲碁棋士は誰か。,李世乭（イ・セドル）,井山裕太,柯潔（かけつ）,羽生善治,AlphaGoは深層学習とモンテカルロ木探索を組み合わせて2016年に李世乭九段に勝利し、AIの進歩を世界に示した。
16,人工知能をめぐる動向,GPTシリーズやBERTの基盤となっているアーキテクチャはどれか。,Transformer,決定木,サポートベクターマシン,k近傍法,TransformerはSelf-Attentionにより長距離依存関係を並列的に学習できるため、現代の大規模言語モデルの基盤となっている。
17,人工知能をめぐる動向,基盤モデル（Foundation Models）の特徴として適切なものはどれか。,大規模データで事前学習し多様なタスクへ適用できる,単一用途にのみ利用できる,教師なし学習では利用できない,画像データのみを扱う,基盤モデルは大規模データで汎用的な表現を学習し、プロンプトや追加学習により多様なタスクへ適応できる点が特徴である。
18,人工知能をめぐる動向,GPUの特徴として適切なものはどれか。,並列計算に優れている,逐次処理のみ可能である,記憶容量が極めて小さい,ネットワーク通信専用である,GPUは多数の演算コアを用いた並列計算に特化しており、ニューラルネットワークの学習を高速化する重要な計算資源である。
20,人工知能をめぐる動向,シンギュラリティの説明として適切なものはどれか。,AIが人間の知能を超える転換点,モラトリアム,トークナイゼーション,フェデレーテッドラーニング,シンギュラリティはAIが自己改良を通じて人間の知能を超え、技術進化が予測困難になる仮説上の転換点である。
21,機械学習の概要,機械学習の3つの主要な学習方法の組み合わせとして正しいものはどれか。,教師あり学習・教師なし学習・強化学習,回帰・分類・クラスタリング,CNN・RNN・Transformer,推論・探索・計画,機械学習は一般に教師あり学習（正解あり）、教師なし学習（構造発見）、強化学習（報酬最大化）の3種類に分類される。
22,機械学習の概要,正解ラベル付きデータを用いて学習する手法はどれか。,教師あり学習,教師なし学習,強化学習,転移学習,教師あり学習は入力データと正解ラベルのペアを用いて、予測誤差を最小化するようにモデルを学習する手法であり、分類・回帰などの基本的なタスクに用いられる。
23,機械学習の概要,データを複数のグループに分けるクラスタリングはどの学習方法に分類されるか。,教師なし学習,教師あり学習,強化学習,転移学習,クラスタリングは正解ラベルを持たないデータから構造や類似性を見つけてグループ化する手法であり、代表的な教師なし学習である。
24,機械学習の概要,回帰問題の例として最も適切なものはどれか。,住宅価格を予測する,メールをスパムかどうか分類する,画像に写っている動物を分類する,顧客をグループ分けする,回帰は連続値を予測する問題であり、住宅価格や売上予測のように数値を出力するタスクが該当する。分類問題とは異なり離散カテゴリではなく実数値を扱う点が特徴である。
25,機械学習の概要,分類問題の例として最も適切なものはどれか。,画像が犬か猫かを判定する,株価を予測する,気温を予測する,売上高を予測する,分類は入力データをあらかじめ定義されたカテゴリに割り当てる問題であり、犬・猫の判定のように離散的なクラスを出力するタスクが該当する。
26,機械学習の概要,過学習（Overfitting）の説明として最も適切なものはどれか。,学習データに過度に適合し、未知データへの性能が低下する状態,モデルが単純すぎるため、学習データと未知データの双方で十分な性能が得られない状態,学習データでは性能が低いが、未知データでは高い性能を示す状態,学習データと未知データの両方で同程度に性能が向上し続ける状態,過学習はモデルが訓練データのノイズまで学習してしまい、訓練データには高精度でもテストデータで性能が落ちる状態を指す。
27,機械学習の概要,モデルが学習データにもテストデータにも十分な性能を示さない状態を何というか。,未学習（Underfitting）,過学習（Overfitting）,転移学習,蒸留,未学習はモデルがデータの特徴を十分に捉えられておらず、表現力不足により訓練データにもテストデータにも性能が出ない状態である。
28,機械学習の概要,モデルの汎化性能を評価するためにデータを複数回分割して評価する手法はどれか。,交差検証（Cross Validation）,正則化,ドロップアウト,バッチ正規化,交差検証はデータを複数の分割に分けて学習と評価を繰り返すことで、限られたデータでも汎化性能をより安定して評価する手法である。
29,機械学習の概要,正解と予測の差を数値化し、学習の目的関数として用いられるものはどれか。,損失関数,活性化関数,評価関数,特徴量,損失関数は予測値と正解値の誤差を数値化し、その値を最小化するようにモデルのパラメータを更新するための基準となる。
30,機械学習の概要,機械学習モデルが未知のデータに対して適切な予測を行う能力を何というか。,汎化性能,表現学習,特徴抽出,次元削減,汎化性能とは、学習時に見ていない未知データに対しても正しく予測できる能力のことであり、モデルの実用性を評価する重要な指標である。
31,ディープラーニングの概要,ディープラーニングの主な特徴として最も適切なものはどれか。,多層のニューラルネットワークによって特徴量を自動学習できる,すべての特徴量を人手で設計する必要がある,ルールベースでのみ動作する,必ず教師なし学習である,ディープラーニングは多層ニューラルネットワークによりデータから階層的に特徴を自動抽出できる点が最大の特徴であり、従来の手作業による特徴設計を不要にする。
32,ディープラーニングの概要,ニューラルネットワークの最も基本的な構成要素はどれか。,ニューロン（パーセプトロン）,決定木,サポートベクターマシン,ベイズネットワーク,ニューラルネットワークは生物の神経細胞を模したニューロン（パーセプトロン）を基本単位として構成され、これらを多層に接続することで複雑な関数を表現できる。
33,ディープラーニングの概要,ニューラルネットワークにおいてデータを受け取る最初の層を何というか。,入力層,隠れ層,出力層,プーリング層,入力層は外部データ（特徴量）を受け取り、後続の隠れ層へ伝達する役割を持つネットワークの入口である。
34,ディープラーニングの概要,ニューラルネットワークにおいて最終的な予測結果を出力する層を何というか。,出力層,入力層,隠れ層,正規化層,出力層はネットワークの最終段であり、分類では確率やクラス、回帰では数値など最終予測結果を生成する役割を持つ。
35,ディープラーニングの概要,ディープラーニングにおける『深い（Deep）』の意味として適切なものはどれか。,隠れ層が多層化されていること,データ量が多いこと,計算速度が速いこと,モデルサイズが小さいこと,ディープラーニングの『Deep』はネットワークが多層の隠れ層を持つ構造であることを指し、階層的に特徴を抽出できる点が特徴である。
36,ディープラーニングの概要,ディープラーニングの発展に大きく寄与した計算資源はどれか。,GPU,HDD,プリンタ,ルータ,GPUは多数の並列演算を効率的に処理できるため、ニューラルネットワークの大規模学習を可能にし、深層学習の発展を支えた。
37,ディープラーニングの概要,ディープラーニングの性能向上に寄与した3つの要素の組み合わせとして最も適切なものはどれか。,大量のデータ・高性能計算資源・アルゴリズムの進歩,低速CPU・少量データ・ルールベース,データ圧縮・暗号化・仮想化,ネットワーク帯域・センサ・IoT,第3次AIブームはビッグデータ、高性能GPU、そしてReLUやDropoutなどのアルゴリズム進化の三要素によって支えられている。
