大分類,カテゴリ,項目No,項目名,キーワード,意味
技術分野,人工知能とは,1,人工知能の定義,AI 効果,ある技術が実用化され身近になるとそれをAIとは感じなくなり普通の技術だとみなしてしまう傾向
技術分野,人工知能とは,1,人工知能の定義,エージェント,環境を観測し行動を選択して目標達成を目指す自律的なソフトウェアやロボットの主体
技術分野,人工知能とは,1,人工知能の定義,人工知能,人間の知的な判断や学習などをコンピュータ上で実現しようとする技術や研究分野の総称
技術分野,人工知能とは,1,人工知能の定義,機械学習,データから規則やパターンを自動的に学習して明示的なプログラム無しに予測や分類などを行う手法
技術分野,人工知能とは,1,人工知能の定義,ディープラーニング,多層のニューラルネットワークを用いて特徴を自動抽出し高精度な認識や生成を行う機械学習の一分野
技術分野,人工知能とは,2,人工知能分野で議論される問題,シンギュラリティ,AIなどの技術が急速に進歩し人間の知能を大きく超える転換点が訪れるとする仮説
技術分野,人工知能とは,2,人工知能分野で議論される問題,シンボルグラウンディング問題,記号が現実世界の対象や経験とどのように結び付いて意味を持つのかを問う問題
技術分野,人工知能とは,2,人工知能分野で議論される問題,身体性,知能や認知は身体と環境との相互作用に支えられているという考え方
技術分野,人工知能とは,2,人工知能分野で議論される問題,ダートマス会議,1956年にダートマス大学で開かれた人工知能研究の会議でAIという名称が提案され分野の出発点とされる出来事
技術分野,人工知能とは,2,人工知能分野で議論される問題,トイ・プロブレム,現実問題を単純化したおもちゃのような小規模課題でアルゴリズムや理論の検証に用いる問題
技術分野,人工知能とは,2,人工知能分野で議論される問題,知識獲得のボトルネック,専門家の知識をエキスパートシステム用のルールなどの形式に落とし込む作業が手作業で大きな負担となること
技術分野,人工知能とは,2,人工知能分野で議論される問題,チューリングテスト,人間の審査者が対話だけから相手が人か機械か判定できなければその機械を知的とみなすというテスト
技術分野,人工知能とは,2,人工知能分野で議論される問題,中国語の部屋,中国語を理解しない人が規則通りに記号操作するだけで外からは理解しているように見えることを示し記号操作と本当の理解の違いを問題提起した思考実験
技術分野,人工知能とは,2,人工知能分野で議論される問題,強い AI と弱い AI,強いAIはコンピュータが心や意識を持つ真の知能を実現できるとする立場で弱いAIは知的行動の模倣にとどまる道具と見る立場
技術分野,人工知能とは,2,人工知能分野で議論される問題,統計的機械翻訳,大量の対訳データから統計モデルを学習し最も確からしい訳文を選ぶことで翻訳を行う手法
技術分野,人工知能とは,2,人工知能分野で議論される問題,フレーム問題,世界で起こり得る膨大な変化のうち何が現在の行動に関係するかを機械が選び出し記述するのが難しいという問題
技術分野,人工知能とは,2,人工知能分野で議論される問題,ルールベース機械翻訳,人手で作成した文法規則や辞書に基づき翻訳規則を適用して訳文を生成する機械翻訳方式
技術分野,人工知能とは,2,人工知能分野で議論される問題,ローブナーコンテスト,対話システムを対象にチューリングテスト形式で人間らしさを競わせるチャットボットコンテスト
技術分野,人工知能をめぐる動向,3,探索・推論,αβ 法,ミニマックス探索でαとβという上下限を使い勝敗に影響しない枝を刈り取って探索量を減らす枝刈り手法
技術分野,人工知能をめぐる動向,3,探索・推論,Mini-Max 法,二人ゼロ和ゲームを仮定し自分は評価値を最大に相手は最小にするとして終端局面から最善手を逆算するゲーム木探索手法
技術分野,人工知能をめぐる動向,3,探索・推論,SHRDLU,積み木の世界を舞台に英語による命令や質問に応答することで自然言語理解と世界モデルの結合を示した初期の対話システム
